amount,is_fraud,transaction_time,location,device_type,merchant_category,upi_id,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction
8367.13,0,2025-01-15 00:05:27,Himachal Pradesh,Trusted,Travel,anjaliprasad@axisbank,2,1,9,110
5531.5,0,2025-03-12 09:17:28,Karnataka,Trusted,Food,rgera@icici,1,3,10,188
4907.44,0,2025-02-18 06:11:45,Meghalaya,Trusted,Others,yamini95@paytm,3,0,4,291
3018.32,0,2025-02-16 16:46:46,Himachal Pradesh,Trusted,Fashion,janyaj1@yesbank,2,4,6,537
6971.63,1,2025-02-25 01:07:07,Ramagundam,Trusted,Fashion,bwali@kotak,3,5,5,6
4654.96,0,2025-03-06 10:36:57,Mizoram,Trusted,Travel,sarakrish@kotak,2,2,7,158
8431.76,0,2025-01-24 04:14:25,Assam,Trusted,Fashion,krishnadeep@sbi,3,4,4,411
9231.77,0,2025-02-02 01:23:10,Rajasthan,Trusted,Others,jeremiahsahota@hdfcbank,2,3,8,731
3678.8,0,2025-01-07 14:24:28,Gujarat,Trusted,Travel,ztata@hdfcbank,1,4,3,841
5597.64,0,2025-02-20 03:28:45,Kerala,Trusted,Food,mdara@hdfcbank,1,6,12,733
3255.78,1,2025-01-12 22:17:11,Nanded,Untrusted,Electronics,bina92@icici,10,18,27,33
4924.06,0,2025-01-01 20:57:15,Bihar,Trusted,Grocery,praza@paytm,2,5,6,152
842.16,0,2025-01-02 04:32:10,Jharkhand,Trusted,Travel,esekhon@axisbank,3,0,1,382
1914.95,0,2025-02-28 03:48:03,Arunachal Pradesh,Trusted,Tradel,ysarna@yesbank,2,5,5,795
8679.98,0,2025-01-09 12:53:07,Himachal Pradesh,Trusted,Grocery,fgopal@icici,3,3,9,498
2419.45,0,2025-01-28 22:22:08,Andhra Pradesh,Trusted,Fashion,lallonveer@paytm,2,6,12,311
1324.26,0,2025-02-11 05:11:03,Arunachal Pradesh,Trusted,Food,banjeet08@hdfcbank,3,6,14,598
3596.48,0,2025-01-02 12:23:20,Tamil Nadu,Trusted,Food,cparekh@icici,3,2,5,616
1209.12,0,2025-02-24 08:11:26,Telangana,Trusted,Fashion,lohit16@kotak,1,1,5,112
9536.68,0,2025-01-22 13:24:40,Gujarat,Trusted,Food,aarini19@sbi,2,0,8,689
8018.92,0,2025-01-06 20:27:48,Arunachal Pradesh,Trusted,Others,wdesvi@paytm,2,1,7,221
5181.08,0,2025-01-24 06:16:59,Sikkim,Trusted,Others,oliver92@kotak,3,5,10,886
7830.17,0,2025-03-11 02:17:54,Assam,Trusted,Grocery,gabriel36@paytm,1,2,12,460
6793.09,0,2025-02-10 16:06:28,Uttar Pradesh,Trusted,Food,hkant@axisbank,1,1,12,117
5862.04,0,2025-02-05 14:56:19,Arunachal Pradesh,Trusted,Fashion,mugdhachoudhury@sbi,2,2,5,602
2467.12,0,2025-02-17 19:19:00,Bihar,Trusted,Food,widisha27@axisbank,3,0,1,75
1857.29,0,2025-03-05 17:49:11,Punjab,Trusted,Travel,sagareiravati@axisbank,1,4,5,501
7956.55,0,2025-01-02 10:59:06,Rajasthan,Trusted,Grocery,etax8@hdfcbank,1,1,4,634
1739.09,0,2025-03-11 17:05:16,Haryana,Trusted,Grocery,darabhavani@paytm,1,2,7,573
3937.11,0,2025-02-28 08:12:21,Manipur,Trusted,Fashion,bhavna71@yesbank,2,4,7,188
4500.22,0,2025-03-07 08:51:19,Himachal Pradesh,Trusted,Grocery,aarav66@yesbank,3,0,9,344
8548.87,0,2025-01-11 19:46:43,Haryana,Trusted,Food,yadavvidhi@hdfcbank,3,2,11,821
1035.02,0,2025-01-11 06:22:03,Jharkhand,Trusted,Grocery,sanya02@hdfcbank,2,1,0,997
9766.4,0,2025-03-14 03:38:36,Kerala,Trusted,Others,sathvikbanik@yesbank,3,3,8,333
8718.74,0,2025-01-02 17:20:19,Meghalaya,Trusted,Grocery,batravanya@hdfcbank,3,5,9,719
7550.05,0,2025-03-06 19:37:41,Tripura,Trusted,Others,zansi81@hdfcbank,3,2,5,439
7343.59,0,2025-01-21 15:20:57,Odisha,Trusted,Electronics,bborde@icici,2,3,9,106
4708.3,0,2025-01-21 18:47:54,Telangana,Trusted,Travel,omyalanka@axisbank,1,6,14,686
972.98,0,2025-01-19 01:40:29,Nagaland,Trusted,Others,sai92@yesbank,2,0,7,1003
7977.42,0,2025-01-23 16:56:36,Telangana,Trusted,Electronics,osane@sbi,2,4,12,25
8958.87,0,2025-01-06 00:05:06,Jharkhand,Trusted,Food,patrickiyecgar@paytm,1,3,4,103
1643.42,0,2025-01-19 19:23:21,Haryana,Trusted,Others,joshijanaki@axisbank,3,0,4,441
6669.25,0,2025-02-10 05:18:17,Odisha,Trusted,Travel,sanghasamarth@yesbank,3,3,12,636
6817.72,0,2025-01-10 20:49:55,West Bengal,Trusted,Fashion,zlall@paytm,2,1,4,889
9424.09,0,2025-01-04 03:19:32,Uttarakhand,Trusted,Fashion,wriddhishhari@hdfcbank,2,0,3,48
3144.46,0,2025-02-01 15:32:07,Goa,Trusted,Grocery,vohraavi@sbi,3,3,7,724
4210.84,0,2025-02-18 18:49:30,Uttar Pradesh,Trusted,Travel,golaaahana@axisbank,3,5,8,1036
9181.21,0,2025-02-27 19:25:50,Meghalaya,Trusted,Grocery,thomas25@paytm,3,0,3,38
547.16,0,2025-01-28 17:16:59,Sikkim,Trusted,Grocery,mitali67@icici,2,1,8,876
7118.1,0,2025-03-10 01:10:12,Uttar Pradesh,Trusted,Grocery,yagnesh77@hdfcbank,3,4,12,492
2848.39,0,2025-01-07 07:13:22,Tripura,Trusted,Fashion,osen@axisbank,1,3,8,113
1158.1,0,2025-02-08 04:31:32,Bihar,Trusted,Electronics,yatanborah@paytm,2,4,4,682
9268.05,0,2025-02-28 17:55:56,Madhya Pradesh,Trusted,Grocery,psahni@yesbank,2,2,10,518
4955.72,0,2025-01-25 09:44:07,Arunachal Pradesh,Trusted,Electronics,qshere@yesbank,3,4,11,548
7395.0,0,2025-02-13 13:18:50,Mizoram,Trusted,Travel,yatin63@kotak,2,2,8,243
1949.07,0,2025-01-19 15:28:09,Tamil Nadu,Trusted,Food,qpall@axisbank,2,0,2,182
8835.37,0,2025-03-12 12:43:50,Haryana,Trusted,Travel,pallalaban@icici,2,0,8,898
2207.84,0,2025-02-20 11:09:53,Meghalaya,Trusted,Fashion,randhawatamanna@kotak,2,3,11,844
8096.99,0,2025-02-24 03:20:32,Telangana,Trusted,Electronics,gkapadia@kotak,3,3,7,953
9519.29,0,2025-01-02 15:15:15,Tripura,Trusted,Grocery,fdasgupta@icici,3,2,2,335
145.72,0,2025-01-21 10:35:15,Madhya Pradesh,Trusted,Electronics,leenaradhakrishnan@yesbank,2,0,0,120
9281.13,0,2025-01-29 06:18:43,Haryana,Trusted,Food,munshifrado@paytm,3,5,10,223
4301.78,1,2025-02-11 06:38:17,Durgapur,Untrusted,Travel,dixitchandani@yesbank,2,6,12,43
6677.37,0,2025-02-20 18:54:10,Odisha,Trusted,Travel,vartyaarav@yesbank,3,0,3,541
1376.92,0,2025-01-04 06:39:43,Kerala,Trusted,Electronics,chanamitali@icici,2,1,0,484
7246.08,0,2025-02-07 15:07:47,Rajasthan,Trusted,Fashion,athaker@kotak,3,2,8,322
6906.89,1,2025-03-09 01:27:50,Raebareli,Untrusted,Grocery,odika02@axisbank,10,18,20,6
4463.72,0,2025-02-08 13:47:26,Gujarat,Trusted,Electronics,jpillay@kotak,3,3,4,316
1822.79,0,2025-01-03 12:13:14,Rajasthan,Trusted,Fashion,arjun99@sbi,1,0,3,245
7826.1,1,2025-01-29 13:43:16,Katihar,Trusted,Food,xiti57@paytm,8,20,28,39
669.37,0,2025-02-15 11:05:07,Tamil Nadu,Trusted,Fashion,wishimajumdar@yesbank,1,1,5,569
6526.43,0,2025-01-01 15:11:26,Haryana,Trusted,Food,orinder33@hdfcbank,1,3,10,956
3796.84,0,2025-02-09 04:40:50,Telangana,Trusted,Travel,ghoshsneha@sbi,3,6,15,950
