transaction_id,amount,transaction_time,location,device_type,merchant_category,upi_id,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction,is_fraud
088f43cb-3f86-415d-a7a0-ac0f990b8a9e,636.46,10:14.9,Bihar,Trusted,Food,aadhya20@sbi,4,2,4,104,0
6a4954b8-8bb1-47e6-a070-dc420867b684,9434.67,34:39.9,Punjab,Trusted,Fashion,xsanghvi@kotak,1,2,5,112,0
21ee0c93-2e7b-423d-b647-ed85455f7478,4658.1,12:24.9,Mizoram,Trusted,Utilities,pratyush29@axisbank,4,2,2,136,0
a7c8d605-d8ff-4fcf-aea9-bfb9281ccdf5,48513.03,31:29.9,Gujarat,Trusted,Electronics,chaudryeiravati@yesbank,4,1,3,200,0
ace79d6a-61fd-4393-89bb-9cfab2522ebf,4247.54,09:17.9,Mizoram,Trusted,Fashion,srinivasansai@icici,2,0,2,148,0
277eb069-947d-4344-a12d-f05957f157d6,2810.9,37:43.9,Telangana,Untrusted,Others,dipta55@yesbank,1,3,5,147,0
46c567a4-e2f2-4734-9bb1-8abeb87aac0f,11079.86,12:15.9,Tamil Nadu,Trusted,Electronics,mbhatia@hdfcbank,1,4,4,185,0
3e88e3ee-85ab-47bd-aefd-2efb269c45a6,6948.09,38:12.9,Uttarakhand,Untrusted,Fashion,muttialka@sbi,4,4,6,31,0
c2af22e3-e5db-44fa-b00a-30fa312b3f52,500.69,46:06.9,Manipur,Untrusted,Food,krishijaya@yesbank,1,1,2,175,0
996112b5-f3e2-44f0-b0d6-fc5cad951910,2023.14,18:05.9,West Bengal,Trusted,Food,pranitmahal@icici,1,3,6,135,0
e8b1289b-ede9-4867-8b01-1374859e18bc,13915.74,59:15.9,Bihar,Trusted,Travel,hraval@paytm,1,4,6,155,0
28e430ad-bc51-4681-aafb-1c1bdcf2b656,2854.02,06:57.9,Assam,Untrusted,Utilities,obal@yesbank,1,2,4,66,0
4483d8d0-5575-4d6c-878c-b27a45e6cc0e,46387.41,14:02.9,Maharashtra,Trusted,Education,nachiketparekh@icici,1,4,7,74,0
ab96ea16-51c3-41fb-ba5e-3b85155f37c6,2934.89,00:55.9,Sikkim,Trusted,Grocery,gayathri93@yesbank,3,2,3,76,0
b3a22d64-a76a-4d83-9eba-543de2160cdf,43109.59,59:28.9,Bihar,Trusted,Electronics,samuelborra@kotak,2,5,6,47,0
49e1280d-4ed2-43af-a20a-2abdb305da4f,1242.22,35:53.9,Andhra Pradesh,Untrusted,Food,edhitha64@axisbank,1,3,4,122,0
588df3a1-b6c6-41a0-99a9-9fbf24ab7e3a,1439.04,00:37.9,Maharashtra,Trusted,Grocery,solankirachana@hdfcbank,4,1,1,104,0
06f02b17-00e0-4b5b-8502-7ffd58bb37c0,9177.77,04:45.9,Karnataka,Trusted,Electronics,anjalikaul@kotak,2,0,3,158,0
593f54b1-192b-4bbb-8703-41ca95b856d9,2762.11,45:33.9,Assam,Trusted,Grocery,ekta81@icici,2,3,4,59,0
2bb7d546-dce2-4714-85e7-5dbc6a5f3b6a,40435.51,03:49.9,Punjab,Trusted,Education,xalak34@kotak,3,2,2,34,0
d4b497b3-a54b-42dc-a5cd-30f2421c131c,1353.6,50:51.9,Odisha,Trusted,Entertainment,riyengar@yesbank,2,3,5,60,0
9591c090-7aee-4464-b82b-81d796b05a0d,1582.14,01:45.9,Jharkhand,Trusted,Entertainment,aishanibhavsar@kotak,4,5,5,65,0
1d92bcfd-15aa-4a1e-b6bf-88bfe762f0ff,3138.86,12:40.9,Nagaland,Untrusted,Entertainment,sbora@icici,1,5,8,78,0
95d7b197-16bc-4045-9974-b74ca7997c1f,11980.4,54:29.9,Maharashtra,Trusted,Healthcare,chaayakakar@sbi,3,1,2,52,0
178a5c35-c43e-4c34-a742-0a90b32c786d,29483.9,07:44.9,Andhra Pradesh,Untrusted,Electronics,patilmanthan@kotak,2,2,2,134,0
fe5144e3-524c-4bd1-96c2-91ff228dc77a,19759.03,00:45.9,Dibrugarh,Trusted,Others,prishamaharaj@paytm,11,16,25,22,1
44ca2ffe-f34c-4ddb-b4bf-1f83ac14d8a7,333.7,15:07.9,Kerala,Trusted,Food,ansh93@yesbank,2,5,6,133,0
0ea9aa3e-53cb-4d92-8681-883519a38670,739.65,09:16.9,Kerala,Untrusted,Grocery,elijah70@paytm,1,5,6,127,0
c9895a82-8fd6-4a32-a505-5e76ba779002,2604.1,11:23.9,West Bengal,Trusted,Others,labanchaudhary@kotak,2,3,5,94,0
24b528fa-30b4-45b1-b4e5-bb0b34ffdaed,1854.2,56:23.9,Maharashtra,Trusted,Others,baljiwandeep@axisbank,3,2,5,196,0
9a9c0ae5-bfc6-4334-8f83-84f4eba8cb42,794.83,52:00.9,Bihar,Untrusted,Healthcare,sundaramkrish@axisbank,1,0,1,132,0
324bf644-69a1-4b7a-baa0-d6688e7e9699,4735.3,10:37.9,Punjab,Trusted,Electronics,chandkrishna@paytm,3,4,4,151,0
f7df1ba2-39b0-4583-8ba2-cec9a8809e79,705.4,44:05.9,Punjab,Trusted,Grocery,brajagopal@axisbank,1,0,0,49,0
dd41422f-07a2-4ef7-ac1d-b88e07c1f2bb,1933.43,23:56.9,Punjab,Trusted,Food,schawla@icici,3,4,5,199,0
3e6a7435-1e81-423d-a0c6-3622ca68ccff,37735.65,52:44.9,Meghalaya,Trusted,Education,zmittal@kotak,2,1,4,46,0
84373750-1f3a-4bbb-9541-313c6468b243,4153.17,35:02.9,Telangana,Untrusted,Electronics,abdulchakrabarti@axisbank,2,2,2,44,0
aadde7c3-6e82-4967-8308-f9f197e36393,1676.46,01:28.9,Tripura,Trusted,Grocery,schoudhury@kotak,3,2,3,62,0
5208a623-8f1f-408a-ab5a-da751e9c0aa6,8779.41,51:43.9,Assam,Untrusted,Healthcare,pranitsahota@paytm,2,1,4,50,0
b8e2dea8-b3be-4db4-b78d-dec32b5c4318,328.27,17:23.9,Madhya Pradesh,Trusted,Utilities,vidhibhat@sbi,1,2,5,146,0
a10dee6a-6127-4bda-a620-608ea85af329,3069.19,38:34.9,Uttar Pradesh,Trusted,Entertainment,madhavi85@kotak,3,3,6,195,0
534da1da-9d06-46ed-8723-95c76aaed47c,868.22,37:07.9,Tripura,Untrusted,Food,wmalhotra@yesbank,2,3,3,115,0
9d086157-6b38-4b23-97c2-2504f57ead6c,1032.48,19:35.9,Punjab,Trusted,Electronics,samar35@axisbank,4,2,3,173,0
7aba2632-c748-416c-bb60-c7f7952609e6,6908.58,53:34.9,Madhya Pradesh,Trusted,Travel,hardik49@yesbank,4,3,5,172,0
1b98ebbc-03c6-453b-91c4-12ef6853668f,2467.65,34:07.9,Jharkhand,Untrusted,Utilities,pooja52@paytm,3,3,6,80,0
b180cc5a-0cc6-4027-af8e-cb913a0e90c2,8516.45,44:04.9,Rajasthan,Trusted,Travel,hema61@yesbank,2,4,4,112,0
92764fb4-f12a-4df9-8768-ae06b437e4ba,5152.84,00:40.9,Kerala,Untrusted,Healthcare,mahalikbal@kotak,3,0,3,146,0
eea83148-9da5-4b8c-9de0-640782f7ab50,4342.46,10:13.9,Nagaland,Trusted,Fashion,dparsa@yesbank,2,1,3,79,0
3a4666e1-d658-4255-a0d5-bcca9b412c19,3685.54,05:23.9,Himachal Pradesh,Trusted,Others,csheth@axisbank,1,4,6,125,0
133a1fea-ba4d-496d-af8f-ad74370d38bb,20144.36,33:30.9,Maharashtra,Trusted,Electronics,loyalkalpit@yesbank,3,3,3,92,0
b9889498-08e2-4805-97dc-590489170213,3831.22,22:11.9,Odisha,Untrusted,Utilities,ranveer23@paytm,3,0,1,102,0
a64701d6-42dd-45b0-8e2e-5d7be3838da5,40047.29,04:15.9,Bihar,Untrusted,Education,pratyush40@yesbank,2,4,4,146,0
131aeed0-be1b-40ec-9f2a-d486411b9ce6,25753.83,55:25.9,Jharkhand,Trusted,Electronics,girish95@sbi,3,1,1,120,0
8d5dbbd1-b9f7-46a8-bd94-63e6eae47b89,1808.66,04:51.9,Andhra Pradesh,Trusted,Grocery,aashiverma@axisbank,1,3,5,98,0
bb5380fe-e9cf-4482-befb-3b1b4be51d9d,2375.89,52:40.9,Gujarat,Trusted,Utilities,agastyacheema@yesbank,4,5,5,45,0
7b4c9442-dcc2-4b4e-83cf-6b90345d763b,32986.39,17:29.9,Tripura,Untrusted,Electronics,tchada@sbi,4,3,4,177,0
90b498d5-a01d-4422-9618-c43e572e33a3,1302.87,33:47.9,Rajasthan,Trusted,Utilities,krishnacharan@yesbank,1,2,4,197,0
f0da8e88-ed9b-4b75-83ef-eea55c25e23a,8195.16,47:01.9,Punjab,Trusted,Others,issacneel@hdfcbank,2,2,2,115,0
3641b02d-ac77-4705-a6a1-f8cf34e6d381,2319.97,03:26.9,Sikkim,Untrusted,Entertainment,ojas22@axisbank,2,0,2,171,0
d92071f3-a908-410b-a62b-3c58fd218742,2204.46,26:37.9,Himachal Pradesh,Trusted,Food,ramaraksha@paytm,2,1,3,36,0
13e78a40-adbc-4585-b537-b4fff6d4873e,4803.12,16:00.9,Mizoram,Trusted,Others,upalla@axisbank,1,5,8,38,0
d74c1533-5a41-4e2e-92a7-05423e82c543,3189.31,03:01.9,Tripura,Trusted,Entertainment,shroffazad@kotak,4,3,3,185,0
b2bf3211-58e0-4593-9845-d3f7a4d6972d,15628.11,47:51.9,Jharkhand,Trusted,Travel,sanyaghosh@hdfcbank,1,5,8,196,0
3754ac90-9642-4d70-9d07-bbdd7c689bd7,7326.6,17:43.9,Odisha,Trusted,Healthcare,deepa93@yesbank,1,1,2,53,0
dcbe4a0f-69da-44a7-8e3b-f9e88da0ccae,37796.46,39:08.9,Chhattisgarh,Untrusted,Electronics,ira91@icici,2,4,7,48,0
53d06cf4-af19-4aa9-92b2-7bbb1318b24a,6338.05,02:06.9,Madhya Pradesh,Trusted,Others,gabrielramachandran@axisbank,3,2,3,65,0
6d867aff-9cd8-4ff7-bf13-dd8b3c6f49dd,14980.09,30:11.9,Goa,Trusted,Healthcare,bhatmanan@yesbank,3,2,2,74,0
fadd0d3d-0910-4397-b1fb-d5813fd578f9,2268.38,19:29.9,West Bengal,Trusted,Healthcare,eganesan@sbi,2,1,2,46,0
c0e753bd-030d-46c2-92c3-c535dc265ba5,8192.95,58:10.9,Telangana,Trusted,Others,varenya93@paytm,1,0,3,133,0
d69fa69a-e8fe-4441-b448-baba47976cd0,8945.42,36:57.9,Chhattisgarh,Trusted,Fashion,balvan17@sbi,3,3,4,97,0
38fd1c83-af2b-4deb-aa67-c7864b87505d,1309.36,17:45.9,Uttar Pradesh,Trusted,Food,palansimon@icici,2,2,3,118,0
6cff0293-3588-456b-b3bb-9dbdf195d850,7405.08,20:52.9,Uttarakhand,Untrusted,Electronics,hsastry@paytm,1,5,5,175,0
0947bb95-5246-4c0c-8f62-35be15c358e4,2146.58,45:46.9,Bihar,Trusted,Food,chasmumbhatia@paytm,4,0,1,146,0
102d94d3-51e5-4295-ac70-2e191b927969,1782.05,58:03.9,Mizoram,Trusted,Grocery,jagviraj@sbi,1,5,8,65,0
3f1f66af-8494-449e-9e40-2aca84cdd229,5171.72,40:46.9,Rajasthan,Untrusted,Others,ekajadhar@hdfcbank,3,5,5,69,0
cc6dbf35-79ef-4259-afa2-0e1d00799f15,13923.19,45:01.9,Himachal Pradesh,Trusted,Travel,yuvraj30@sbi,3,4,7,80,0
32626c95-838f-4c05-8616-6c3dfcf51048,2356.75,37:14.0,Uttarakhand,Untrusted,Grocery,handaomaja@hdfcbank,1,1,1,154,0
4c6c432b-8dcc-4b30-96d4-d93a608d2cb3,4480.14,42:42.9,Haryana,Untrusted,Grocery,duayutika@axisbank,2,0,0,191,0
747d3ce0-abb5-44b1-9512-bd6f656ef8e1,2471.13,48:33.9,Punjab,Untrusted,Others,ranbir32@paytm,4,3,6,175,0
420c823d-2d79-4d3c-900b-d5dd6503f0f0,4848.98,06:23.9,Meghalaya,Trusted,Utilities,robert49@kotak,3,5,6,34,0
788b15f7-941f-43d9-b919-4427a4a0b2c1,32782.56,31:53.0,Meghalaya,Trusted,Electronics,hiral96@icici,3,5,6,98,0
d35fa899-ef55-42ad-ad22-ed36a7ff9deb,1167.62,26:07.9,Andhra Pradesh,Trusted,Grocery,widisharana@sbi,1,5,8,145,0
b124c689-051b-433a-89ca-fbec1d7a1d11,5619.11,53:47.9,Kerala,Trusted,Fashion,qiyengar@sbi,4,2,4,77,0
159fa7b8-c726-4a75-9ca2-6c5ef7d9aac8,16176.16,38:16.0,Arunachal Pradesh,Untrusted,Travel,revabahri@sbi,1,0,3,120,0
4516c13b-2784-4fb5-9c75-aa8c90ac4c58,7701.77,50:46.0,Odisha,Trusted,Fashion,tellahritik@yesbank,3,5,5,179,0
a302c2d2-c14e-4e39-b086-a1e7e8b0e228,35674.5,10:36.0,Telangana,Trusted,Electronics,nbuch@axisbank,4,0,1,127,0
fed5a691-909a-4c1a-a230-bc23d786c662,7257.27,41:31.0,Telangana,Untrusted,Fashion,lakshyogi@yesbank,2,0,3,131,0
73c0b57d-4dca-4063-88fa-234d93331535,11522.77,03:46.0,Karnataka,Trusted,Travel,duanathaniel@axisbank,3,1,1,197,0
f74dba68-07f3-43ce-b7bb-3b0e41d11245,5251.79,23:39.0,Manipur,Trusted,Healthcare,ekiyabhatti@kotak,3,5,5,79,0
