amount,is_fraud,transaction_time,location,device_type,merchant_category,upi_id,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction
2659.25,0,2025-03-03 17:16:36,Sikkim,Trusted,Electronics,fariqloke@hdfcbank,3,3,8,872
8723.62,0,2025-01-16 12:13:09,Haryana,Trusted,Grocery,bhaktapallavi@sbi,3,0,1,228
5164.27,0,2025-02-26 09:45:04,Himachal Pradesh,Trusted,Food,sandhugirik@sbi,3,5,6,437
7326.4,0,2025-01-04 13:21:07,Haryana,Trusted,Electronics,anjali21@hdfcbank,3,3,9,382
8181.21,0,2025-03-03 04:26:36,Tripura,Trusted,Fashion,sarafjeet@sbi,2,3,10,481
3993.38,0,2025-01-26 00:00:57,Kerala,Trusted,Travel,urattan@paytm,2,0,8,191
9451.13,0,2025-01-06 23:30:50,Haryana,Trusted,Electronics,gautamijain@paytm,3,2,7,793
2210.02,0,2025-01-24 11:11:35,Chhattisgarh,Trusted,Food,faraj22@yesbank,1,3,8,264
2044.46,0,2025-02-20 21:49:53,Andhra Pradesh,Trusted,Fashion,girish59@paytm,1,0,9,677
9381.57,0,2025-01-30 04:09:28,Kerala,Trusted,Others,kavya72@axisbank,3,3,5,14
2038.21,0,2025-01-26 15:28:44,Karnataka,Trusted,Travel,kannanqabil@sbi,3,4,13,351
6149.69,0,2025-02-02 10:45:13,Bihar,Trusted,Grocery,qarora@kotak,3,5,6,389
6912.06,0,2025-01-29 13:09:15,Assam,Trusted,Fashion,iramodi@kotak,3,0,8,160
6211.7,0,2025-02-25 11:51:52,Nagaland,Trusted,Fashion,horakamya@hdfcbank,3,3,8,847
9750.62,0,2025-01-19 19:05:58,Jharkhand,Trusted,Others,panini70@axisbank,2,3,4,969
8804.27,0,2025-01-10 20:51:34,Rajasthan,Trusted,Grocery,fradomemon@axisbank,2,4,12,218
5842.23,0,2025-01-26 02:45:04,Andhra Pradesh,Trusted,Electronics,yatan88@axisbank,2,1,9,842
1590.54,0,2025-02-25 02:37:44,Karnataka,Trusted,Fashion,yastinarang@paytm,2,1,1,637
7853.01,0,2025-02-21 14:30:01,Madhya Pradesh,Trusted,Others,lmisra@sbi,3,3,13,919
4676.06,0,2025-02-28 18:20:04,Chhattisgarh,Trusted,Fashion,udugar@kotak,2,1,1,970
2880.1,0,2025-02-08 19:50:13,Assam,Trusted,Food,aarushbawa@sbi,3,4,12,718
3562.73,0,2025-02-08 23:20:07,Telangana,Trusted,Food,oscar27@axisbank,2,2,11,438
4919.03,0,2025-01-18 15:07:21,Karnataka,Trusted,Others,veer88@kotak,3,4,13,659
6589.14,0,2025-02-01 16:12:49,Tamil Nadu,Trusted,Electronics,evyas@yesbank,2,4,5,599
1561.51,0,2025-02-28 17:18:12,Tamil Nadu,Trusted,Fashion,ksama@hdfcbank,2,0,2,93
7593.78,0,2025-02-25 00:07:48,Himachal Pradesh,Trusted,Food,mjohal@paytm,1,3,11,731
3600.51,0,2025-01-03 21:19:57,Tripura,Trusted,Food,andrew62@icici,2,2,10,787
6239.3,0,2025-03-02 16:44:37,Telangana,Trusted,Grocery,singhqarin@hdfcbank,1,3,11,870
