transaction_id,amount,transaction_time,location,device_type,merchant_category,upi_id,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction,is_fraud,hour
cb3ebcbf-a32f-4156-b060-c2c9bfe5a414,2954.98,2025-03-09 15:14:38.051357,Mizoram,Trusted,Utilities,kamala06@yesbank,3,5,8,179,0,15
c465402f-6472-49f2-af31-4d7e6b2bc636,49602.44,2025-03-09 23:31:58.053324,Faridabad,Trusted,Electronics,devhans@sbi,5,9,17,24,1,23
f2eb4dde-5499-4b44-8109-5b759d6863b4,30470.34,2025-03-09 21:19:05.053324,Himachal Pradesh,Trusted,Education,pbadal@kotak,2,3,4,97,0,21
45b77c3d-e65c-4883-b771-c692f6d064b5,6377.31,2025-03-09 03:06:42.053324,Mango,Untrusted,Grocery,darpan58@sbi,8,8,22,4,1,3
49b1a68d-dabe-48c6-885b-321cbeef667b,32371.92,2025-03-09 17:41:25.053324,Maharashtra,Trusted,Electronics,sudiksha43@axisbank,3,2,5,58,0,17
21870a06-df50-48e0-a439-1013c4876fa3,88376.54,2025-03-09 04:22:45.053324,Ichalkaranji,Untrusted,Electronics,ansh91@axisbank,11,17,23,27,1,4
7cc05324-1e48-4db3-9fde-d372e9663083,31714.72,2025-03-09 23:15:18.053324,Ambarnath,Trusted,Travel,rishiwalla@yesbank,5,9,23,23,1,23
d02ff54d-3738-4ccd-a707-132321da5191,41080.24,2025-03-09 15:19:50.053324,Arunachal Pradesh,Untrusted,Education,onarain@paytm,1,5,6,197,0,15
17228295-2965-4dad-9c42-5e69490ad195,69084.26,2025-03-09 01:31:43.053324,Junagadh,Trusted,Education,madhav26@kotak,5,10,24,24,1,1
a26e3857-f9e0-400b-a40f-f1a92fb549d4,17144.87,2025-03-09 00:42:47.054433,Kottayam,Trusted,Fashion,dipta99@sbi,6,15,27,18,1,0
9a0925f2-6a8d-4f52-a240-96ca08e8de89,1027.43,2025-03-09 15:39:25.054433,Haryana,Untrusted,Fashion,samuelparekh@yesbank,1,0,3,197,0,15
87cbb196-595d-45e9-8eaf-5853aa9e19c5,26300.92,2025-03-09 00:34:50.054433,Berhampur,Untrusted,Travel,qtandon@paytm,14,20,28,27,1,0
3cf4e8c5-1709-4cdb-a327-1ee04bd01450,30123.9,2025-03-09 12:43:50.054433,Uttarakhand,Untrusted,Education,qmenon@paytm,3,3,4,129,0,12
f267888b-18ba-41b3-b35a-885d7f8ffe36,15863.92,2025-03-09 03:42:40.054433,Kamarhati,Trusted,Others,keerekapad@yesbank,13,8,20,7,1,3
1e008792-77bc-4d86-80a1-449e7a272ee2,209.66,2025-03-09 02:44:09.054433,Chandrapur,Untrusted,Healthcare,naksh25@icici,12,9,18,2,1,2
755bec93-a9e3-4b76-92a3-615968f3ba8d,349.69,2025-03-09 00:01:47.054433,Bokaro,Trusted,Electronics,pdara@yesbank,11,13,24,5,1,0
14daa286-5ca4-4f6c-a3b3-191ea804100b,3946.98,2025-03-09 09:46:28.054433,Telangana,Trusted,Grocery,chadaladli@hdfcbank,3,1,4,93,0,9
0f9c044f-a404-46a4-bb24-c141c32f0962,302.04,2025-03-09 09:06:16.054433,Haryana,Trusted,Food,avi43@axisbank,3,0,2,117,0,9
9bd67a04-7ffa-4f9c-8e42-63bda5abfb46,4543.65,2025-03-09 16:34:44.055416,Himachal Pradesh,Trusted,Utilities,jkala@yesbank,3,1,2,70,0,16
edac629e-a0a6-46d0-97a6-2182590ab63f,9183.31,2025-03-09 09:56:19.055416,Karnataka,Trusted,Others,udube@axisbank,2,4,5,110,0,9
39ce9efb-7397-4c76-9c6c-86d3ab8a895c,5003.25,2025-03-09 21:02:09.055416,Tamil Nadu,Trusted,Fashion,ikala@hdfcbank,3,4,7,199,0,21
afe8576b-7351-4ae7-aaf7-027e5addd06c,8999.8,2025-03-09 15:47:49.055416,Madhya Pradesh,Trusted,Fashion,walilohit@yesbank,4,1,2,159,0,15
3e51307b-b7c6-4e6b-bfa5-47c119905f43,7691.36,2025-03-09 16:53:33.055416,Karnataka,Untrusted,Fashion,yahvi12@axisbank,2,2,3,185,0,16
1a0883ff-6d38-407b-873f-b08e8d72ea89,7635.21,2025-03-09 02:19:20.055416,Unnao,Trusted,Grocery,hanne@yesbank,6,10,18,16,1,2
d8e4c044-67d7-4f26-87a9-6b96dd661a57,3366.43,2025-03-09 14:09:54.056027,Chhattisgarh,Trusted,Entertainment,lekha55@kotak,1,5,7,42,0,14
8f999d11-5e96-471a-9b34-5c83ec2d7402,8142.85,2025-03-09 12:58:34.056027,Nagaland,Untrusted,Healthcare,zdugal@kotak,4,5,6,176,0,12
936f4afd-8e99-49d1-bfe4-ef0e83b47e90,5650.38,2025-03-09 20:04:07.056027,Odisha,Trusted,Healthcare,sara79@hdfcbank,3,5,5,200,0,20
fafb2a6a-26c2-4013-b33a-f1108a84314d,20806.02,2025-03-09 03:50:39.056027,Bhiwandi,Trusted,Travel,isaac49@sbi,12,17,32,17,1,3
438bebc3-fba0-4893-8fd7-0b480d80e55a,19129.06,2025-03-09 22:10:34.056027,Telangana,Untrusted,Electronics,ekapoor@hdfcbank,3,0,2,162,0,22
864fce82-ed18-4663-b53c-d6f953745902,7490.83,2025-03-09 22:30:24.056027,Punjab,Trusted,Healthcare,bhattacharyyafariq@icici,1,3,6,154,0,22
181c0e59-37b0-41ef-86fb-f9aa32c443d6,4539.49,2025-03-09 04:10:12.056027,Firozabad,Untrusted,Food,goleaayush@sbi,7,14,24,2,1,4
e7ca6791-8d58-4e73-971f-b1d2072a6959,36.1,2025-03-09 02:20:52.056027,Khandwa,Trusted,Utilities,azadsoni@hdfcbank,9,20,31,9,1,2
f7333ed4-f91c-473e-a69f-0605d6234b98,13930.75,2025-03-09 23:22:18.056027,Hazaribagh,Untrusted,Healthcare,geetika53@paytm,10,12,26,6,1,23
