amount,is_fraud,transaction_time,location,device_type,merchant_category,upi_id,transaction_frequency,num_transactions_24hrs,num_transactions_48hrs,time_since_last_transaction
440.67,0,15-01-2025 01:08,Karnataka,Trusted,Fashion,udantmani@sbi,1,0,6,49
3842.08,0,17-01-2025 08:08,Manipur,Trusted,Others,sekhonmanan@kotak,2,5,9,50
5751.29,0,01-01-2025 11:34,Himachal Pradesh,Trusted,Fashion,reyansh78@sbi,1,4,8,57
106.71,0,07-01-2025 11:17,Rajasthan,Trusted,Food,sgarde@sbi,2,1,5,44
3718.79,0,02-01-2025 17:24,Arunachal Pradesh,Trusted,Fashion,bhandariyatan@axisbank,2,2,6,34
7745.02,0,04-01-2025 22:38,Goa,Trusted,Electronics,shethanthony@sbi,1,3,11,39
6107.68,0,09-01-2025 18:21,Meghalaya,Trusted,Electronics,dipta08@axisbank,3,4,10,69
5027.32,0,13-01-2025 15:10,Goa,Trusted,Others,harrisonlala@sbi,1,0,9,38
82.43,0,06-01-2025 19:55,Odisha,Trusted,Grocery,yadavikrishnamurthy@yesbank,1,0,1,23
1192.7,0,09-01-2025 18:51,West Bengal,Trusted,Travel,santbaljiwan@yesbank,1,0,10,76
1493.67,0,02-01-2025 13:46,Uttar Pradesh,Trusted,Electronics,prabhakarwakeeta@kotak,1,3,6,19
1238.3,0,14-01-2025 02:19,Nagaland,Trusted,Fashion,sanihenry@sbi,3,4,13,68
2169.28,0,23-01-2025 10:40,Kerala,Trusted,Electronics,dakshrattan@axisbank,1,3,5,20
1187.68,0,16-01-2025 13:24,Bihar,Trusted,Fashion,ybarman@paytm,3,2,4,20
6452.15,0,18-01-2025 17:02,Jharkhand,Trusted,Others,tprabhakar@axisbank,2,3,12,86
7284.24,0,15-01-2025 01:11,Sikkim,Trusted,Grocery,ldin@icici,2,2,10,33
7801.99,1,20-01-2025 22:41,Korba,Trusted,Food,qarinuppal@paytm,2,19,28,0
5601.87,0,01-01-2025 16:44,Telangana,Trusted,Electronics,cradhakrishnan@yesbank,1,1,8,86
